,position
29160,1.0
29161,1.0
29162,1.0
29163,1.0
29164,1.0
29165,0.9999999968147153
29166,0.99999998252311
29167,0.9999991879895344
29168,0.9999999696380526
29169,0.02525668500603298
29170,1.0
29171,1.0
29172,1.0
29173,1.0
29174,1.0
29175,1.0
29176,1.0
29177,2.441735766051783e-14
29178,4.705351988258038e-18
29179,2.552247012034199e-21
29180,2.6099805841125357e-30
29181,3.1036969923951174e-29
29182,2.1054449087001627e-20
29183,1.0
29184,1.0
29185,1.0
29186,1.0
29187,1.0
29188,1.0
29189,1.0
29190,1.0
29191,0.9999999999998661
29192,0.9999999999999261
29193,1.844314187640332e-17
29194,0.9994748904705782
29195,0.9878823506598102
29196,0.9999999317389061
29197,1.8863357679801374e-17
29198,1.0
29199,1.0
29200,0.9999999999964855
29201,0.9999999959510955
29202,2.1636599090278195e-18
29203,1.2216996744755556e-19
29204,1.0
29205,1.0
29206,1.0
29207,7.837857347087994e-08
29208,7.653638837331708e-13
29209,1.9539115424187322e-22
29210,0.999999999994867
29211,0.9999999999413747
29212,0.9999999999898228
29213,0.9999999999994493
29214,0.9999992064258592
29215,0.9999981363293797
29216,1.0
29217,0.9999999999991087
29218,1.0
29219,1.0
29220,1.0
29221,1.0
29222,0.9999999999999993
29223,0.999999999992846
29224,0.999999848011841
29225,0.9999817842443174
29226,0.9999998442661866
29227,0.9998150247375375
29228,1.0
29229,1.0
29230,1.0
29231,1.0
29232,1.0
29233,1.0
29234,1.0
29235,1.0
29236,1.0
29237,5.2029887697287915e-08
29238,0.0001987625537536414
29239,0.008038491706567768
29240,9.595956269479137e-24
29241,0.9999999999993834
29242,0.9999999999872726
29243,1.0
29244,1.0
29245,1.0
29246,1.0
29247,1.0
29248,0.9999996248588663
29249,0.9999921174678902
29250,0.9999999008047501
29251,0.9998449118016178
29252,0.9999986408206085
29253,0.9999991478770358
29254,0.9999506776785613
29255,0.9999998188337753
29256,0.9999996483688609
29257,1.0
29258,1.0
29259,1.0
29260,1.0
29261,1.0
29262,0.9999999999999998
29263,1.0
29264,1.0
29265,1.0
29266,1.0
29267,1.0
29268,1.0
29269,1.0
29270,0.9999999462762388
29271,0.9999999985744648
29272,1.0
29273,1.0
29274,1.0
29275,1.0
29276,1.0
29277,0.9999999999995393
29278,0.9999999996713074
29279,1.0
29280,1.0
29281,1.0
29282,0.7405346258437514
29283,0.44474334318933106
29284,1.0
29285,1.0
29286,1.0
29287,1.0
29288,1.0
29289,1.0
29290,1.0
29291,1.0
29292,1.0
29293,1.0
29294,1.0
29295,1.0
29296,0.9999999999999998
29297,1.0
29298,1.0
29299,0.9999546884901521
29300,0.9999999440139269
29301,1.0
29302,1.0
29303,1.0
29304,1.0
29305,1.0
29306,1.0
29307,1.0
29308,1.0
29309,1.0
29310,0.9999999999998106
29311,1.0
29312,1.0
29313,0.9999999999755398
29314,0.999999999997772
29315,0.9999999891112742
29316,0.9999999984086974
29317,5.008609818189948e-20
29318,1.0
29319,1.0
29320,1.0
29321,1.0
29322,1.0745838915932437e-24
29323,3.409656146455933e-20
29324,4.4870515437331817e-17
29325,0.9999999912727465
29326,1.0
29327,0.9999999999999998
29328,1.0
29329,0.9999999999772418
29330,1.0
29331,1.0
29332,1.0
29333,0.9999999999456739
29334,1.0
29335,1.0
29336,1.0
29337,1.0
29338,1.0
29339,1.0
29340,1.0
29341,1.0
29342,1.0
29343,1.0
29344,1.0
29345,1.0
29346,1.0
29347,1.0
29348,1.0
29349,1.0
29350,1.0
29351,3.7511456992534673e-38
29352,1.5393667878043931e-44
29353,7.367235935362776e-06
29354,0.0013712356932181096
29355,0.9996329377633822
29356,1.0
29357,1.0
29358,1.0
29359,1.0
29360,1.0
29361,1.0
29362,0.9999997752714364
29363,1.0
29364,1.0
29365,1.0
29366,1.0
29367,1.0
29368,1.0
29369,1.0
29370,0.9999999999899776
29371,0.9999999999999949
29372,1.1759618377956506e-25
29373,2.730150295874072e-23
29374,9.32736521944638e-25
29375,0.9999962586888267
29376,1.0
29377,1.0
29378,1.0
29379,4.190217687652293e-07
29380,0.016530867407932942
29381,1.0
29382,1.0
29383,1.0
29384,1.0
29385,0.9999999999998319
29386,0.9999999999999891
29387,0.9999999999999731
29388,1.0
29389,1.0
29390,1.0
29391,1.0
29392,0.9999999999999403
29393,3.1146849106509456e-11
29394,1.2236877253997122e-30
29395,1.1940802035646953e-25
29396,2.46881469921839e-27
29397,1.6966848898056297e-29
29398,1.4664226910145462e-25
29399,1.0
29400,0.9999999999999565
29401,0.9999999999998721
29402,0.9999999999999998
29403,0.9999999999999998
29404,1.0
29405,1.7167866806003716e-21
29406,3.496139449652787e-23
29407,1.6013427641648913e-26
29408,2.9351886128781284e-31
29409,1.5181401288259888e-29
29410,8.469049429993698e-29
29411,4.4869472576186084e-32
29412,2.22970241144252e-30
29413,0.9999992135317585
29414,0.9999999683194457
29415,0.9999999859306012
29416,0.999999999999996
29417,1.0
29418,1.0
29419,1.0
29420,0.9999999999994273
29421,0.9999999999998066
29422,0.9999999999558031
29423,1.0
29424,1.0
29425,1.0
29426,1.0
29427,1.0
29428,1.0
29429,1.0
29430,1.0
29431,1.0
29432,1.0
29433,1.0
29434,1.0
29435,1.0
29436,1.0
29437,1.0
29438,1.0
29439,1.0
29440,1.0
29441,1.0
29442,1.0
29443,1.0
29444,1.0
29445,1.0
29446,1.0
29447,1.0
29448,1.0
29449,1.0
29450,1.0
29451,1.0
29452,1.0
29453,1.0
29454,1.0
29455,1.0
29456,1.0
29457,1.0
29458,1.0
29459,1.0
29460,1.0
29461,1.0
29462,1.0
29463,1.0
29464,1.0
29465,1.0
29466,1.0
29467,1.0
29468,1.0
29469,1.0
29470,1.0
29471,1.0
29472,1.0
29473,1.0
29474,1.0
29475,1.0
29476,1.0
29477,1.0
29478,1.0
29479,1.0
29480,1.0
29481,1.0
29482,1.0
29483,1.0
29484,1.0
29485,1.0
29486,1.0
29487,1.0
29488,1.0
29489,1.0
29490,1.0
29491,1.0
29492,1.0
29493,1.0
29494,1.0
29495,1.0
29496,0.9999999997891167
29497,1.0
29498,1.0
29499,1.0
29500,1.0
29501,1.0
29502,1.0
29503,1.0
29504,1.0
29505,1.0
29506,1.0
29507,1.0
29508,1.0
29509,1.0
29510,0.9999999999999927
29511,1.0
29512,1.0
29513,1.0
29514,1.0
29515,1.0
29516,1.0
29517,1.0
29518,1.0
29519,1.0
29520,1.0
29521,1.0
29522,1.0
29523,1.0
29524,1.0
29525,1.0
29526,1.0
29527,1.0
29528,1.0
29529,1.0
29530,1.0
29531,1.0
29532,1.0
29533,1.0
29534,1.0
29535,1.0
29536,1.0
29537,1.0
29538,1.0
29539,1.22078626853836e-07
29540,1.0
29541,1.0
29542,1.0
29543,1.0
29544,1.0
29545,1.0
29546,1.0
29547,1.0
29548,1.0
29549,1.0
29550,1.0
29551,1.0
29552,1.0
29553,1.0
29554,1.0
29555,1.0
29556,1.0
29557,1.0
29558,1.0
29559,1.0
29560,1.0
29561,1.0
29562,1.0
29563,1.0
29564,1.0
29565,1.0
29566,1.0
29567,1.0
29568,1.0
29569,1.0
29570,1.0
29571,1.0
29572,1.0
29573,1.0
29574,1.0
29575,1.0
29576,1.0
29577,1.0
29578,1.0
29579,1.0
29580,1.0
29581,1.0
29582,1.0
29583,2.7719481300278707e-26
29584,1.0
29585,1.0
29586,1.0
29587,1.0
29588,1.0
29589,1.0
29590,1.0
29591,1.0
29592,1.0
29593,1.0
29594,1.0
29595,1.0
29596,1.0
29597,1.0
29598,1.0
29599,1.0
29600,6.059615649026366e-38
29601,1.0605776721021377e-05
29602,1.0
29603,1.0
29604,1.0
29605,1.0
29606,1.0
29607,1.0
29608,1.0
29609,1.0
29610,1.0
29611,1.0
29612,1.0
29613,0.9999999999999976
29614,1.0
29615,1.0
29616,1.0
29617,1.0
29618,1.0
29619,1.0
29620,1.0
29621,1.0
29622,1.0
29623,1.0
29624,1.0
29625,1.0
29626,1.0
29627,1.0
29628,1.0
29629,1.0
29630,1.0
29631,1.0
29632,1.0
29633,1.0
29634,1.0
29635,1.0
29636,1.0
29637,1.0
29638,1.0
29639,1.0
29640,1.0
29641,1.0
29642,1.0
29643,1.0
29644,1.0
29645,1.0
29646,1.0
29647,1.0
29648,1.0
29649,1.0
29650,1.0
29651,1.0
29652,1.0
29653,1.0
29654,1.0
29655,1.0
29656,1.0
29657,1.0
29658,1.0
29659,1.0
29660,1.0
29661,1.0
29662,1.0
29663,1.0
29664,1.0
29665,1.0
29666,1.0
29667,1.0
29668,1.0
29669,1.0
29670,1.0
29671,1.0
29672,1.0
29673,1.0
29674,1.0
29675,1.0
29676,1.0
29677,1.0
29678,1.0
29679,1.0
29680,1.0
29681,1.0
29682,1.0
29683,1.0
29684,1.0
29685,1.0
29686,1.0
29687,1.0
29688,1.0
29689,1.0
29690,1.0
29691,1.0
29692,1.0
29693,1.0
29694,1.0
29695,1.0
29696,1.0
29697,1.0
29698,1.0
29699,1.0
29700,1.0
29701,1.0
29702,1.0
29703,1.0
29704,9.421952973234943e-15
29705,1.0
29706,1.0
29707,1.0
29708,1.0
29709,1.0
29710,1.0
29711,1.0
29712,1.0
29713,1.0
29714,1.0
29715,1.0
29716,1.0
29717,0.9999999992802111
29718,1.0
29719,1.0
29720,1.0
29721,1.0
29722,1.0
29723,1.0
29724,1.0
29725,2.4067613486755083e-15
29726,1.0
29727,1.0
29728,1.0
29729,1.0
29730,1.0
29731,1.0
29732,1.0
29733,1.0
29734,1.0
29735,1.0
29736,1.0
29737,1.0
29738,1.0
29739,1.0
29740,1.0
29741,1.0
29742,1.0
29743,1.0
29744,1.0
29745,1.0
29746,1.0
29747,1.0
29748,1.0
29749,1.0
29750,1.0
29751,1.0
29752,1.0
29753,1.0
29754,1.0
29755,1.0
29756,1.0
29757,1.0
29758,1.0
29759,1.0
29760,1.0
29761,1.0
29762,1.0
29763,1.0
29764,1.0
29765,1.0
29766,1.0
29767,1.0
29768,1.0
29769,1.0
29770,1.0
29771,1.0
29772,1.0
29773,1.0
29774,1.0
29775,1.0
29776,1.0
29777,1.0
29778,1.0
29779,1.0
29780,1.0
29781,1.0
29782,1.0
29783,1.0
29784,1.0
29785,1.0
29786,1.0
29787,1.0
29788,1.0
29789,1.0
29790,1.0
29791,1.0
29792,1.0
29793,1.0
29794,1.0
29795,1.0
29796,1.0
29797,1.0
29798,1.0
29799,1.0
29800,1.0
29801,1.0
29802,1.0
29803,1.0
29804,1.0
29805,1.0
29806,1.0
29807,1.0
29808,1.0
29809,1.0
29810,1.0
29811,1.0
29812,1.0
29813,1.0
29814,1.0
29815,1.0
29816,1.0
29817,1.0
29818,1.0
29819,1.0
29820,1.0
29821,1.0
29822,1.0
29823,1.0
29824,1.0
29825,1.0
29826,1.0
29827,1.0
29828,1.0
29829,1.0
29830,1.0
29831,1.0
29832,1.0
29833,1.0
29834,1.0
29835,1.0
29836,1.0
29837,1.0
29838,1.0
29839,1.0
29840,1.0
29841,1.6150753947472182e-26
29842,1.0
29843,1.0
29844,1.0
29845,1.0
29846,1.0
29847,1.0
29848,1.0
29849,1.0
29850,1.0
29851,0.9999999999911104
29852,1.0
29853,1.0
29854,1.0
29855,1.0
29856,1.0
29857,1.0
29858,1.0
29859,1.0
29860,1.0
29861,1.0
29862,1.0
29863,1.0
29864,1.0
29865,1.0
29866,1.0
29867,1.0
29868,1.0
29869,1.0
29870,1.0
29871,1.0
29872,1.0
29873,3.8106482214219124e-08
29874,0.8233204860363098
29875,1.0
29876,1.0
29877,1.0
29878,1.0
29879,1.0
29880,1.0
29881,1.0
29882,1.0
29883,1.0
29884,1.0
29885,1.0
29886,1.0
29887,1.0
29888,1.0
29889,1.0
29890,1.0
29891,1.0
29892,1.0
29893,1.0
29894,1.0
29895,1.0
29896,1.0
29897,1.0
29898,1.0
29899,1.0
29900,1.0
29901,1.0
29902,1.0
29903,1.0
29904,1.0
29905,1.0
29906,1.0
29907,1.0
29908,1.0
29909,1.0
29910,1.0
29911,1.0
29912,1.0
29913,1.0
29914,1.0
29915,1.0
29916,1.0
29917,1.0
29918,1.0
29919,0.9999998620936071
29920,1.0
29921,1.0
29922,1.0
29923,1.0
29924,1.0
29925,1.0
29926,1.0
29927,1.0
29928,1.0
29929,1.0
29930,2.742675188302832e-24
29931,1.0
29932,1.0
29933,1.0
29934,0.9999999999997882
29935,1.0056489414302348e-33
29936,5.355133606459335e-34
29937,1.0
29938,1.0
29939,1.0
29940,1.0
29941,1.0
29942,1.0
29943,1.0
29944,1.0
29945,1.0
29946,1.0
29947,0.999999999999996
29948,1.0
29949,0.9999999994896955
29950,1.0
29951,2.1408581223440933e-09
29952,1.0
29953,1.0
29954,1.0
29955,1.0
29956,1.0
29957,6.640982830567187e-20
29958,1.0
29959,1.0
29960,1.0
29961,1.0
29962,1.0
29963,1.0
29964,1.0
29965,1.0
29966,1.0
29967,1.0
29968,1.0
29969,1.0
29970,1.0
29971,0.5171957643824694
29972,0.1917847935974678
29973,1.0
29974,0.5035356743596356
29975,1.0
29976,1.0
29977,1.0
29978,1.0
29979,1.0
29980,1.0
29981,1.0
29982,1.0
29983,1.0
29984,1.0
29985,1.0
29986,1.0
29987,1.0
29988,1.0
29989,0.9999999999999962
29990,1.0
29991,1.0
29992,1.0
29993,1.0
29994,1.0
29995,0.9999999999999996
29996,1.0
29997,1.0
29998,1.0
29999,1.0
30000,1.0
30001,1.0
30002,1.0
30003,1.0
30004,1.0
30005,1.0
30006,1.0
30007,0.99999999999719
30008,1.0
30009,1.0
30010,1.0
30011,1.0
30012,1.0
30013,1.0
30014,1.0
30015,1.0
30016,1.0
30017,2.788427721443748e-08
30018,5.100431766997385e-12
30019,1.0
30020,1.0
30021,1.0
30022,1.0
30023,1.0
30024,1.0
30025,1.0
30026,1.0
30027,1.0
30028,1.0
30029,1.0
30030,1.0
30031,1.0
30032,1.0
30033,1.0
30034,1.0
30035,1.0
30036,1.0
30037,1.0
30038,1.0
30039,1.0
30040,1.0
30041,1.0
30042,1.0
30043,1.0
30044,1.0
30045,1.0
30046,1.0
30047,1.0
30048,1.0
30049,1.0
30050,1.0
30051,1.0
30052,1.0
30053,1.0
30054,1.0
30055,1.0
30056,1.0
30057,1.0
30058,1.0
30059,1.0
30060,1.0
30061,1.0
30062,1.0
30063,1.0
30064,1.0
30065,1.0
30066,1.0
30067,1.0
30068,1.0
30069,1.0
30070,1.0
30071,1.0
30072,1.0
30073,1.0
30074,1.0
30075,1.0
30076,1.0
30077,1.0
30078,1.0
30079,1.0
30080,1.0
30081,1.0
30082,1.0
30083,1.0
30084,1.0
30085,1.0
30086,1.0
30087,1.0
30088,1.0
30089,1.0
30090,1.0
30091,1.0
30092,1.0
30093,1.0
30094,1.0
30095,1.0
30096,1.0
30097,1.0
30098,1.0
30099,1.0
30100,2.045983864309711e-23
30101,4.578096376164806e-18
30102,1.4936416941080291e-12
30103,8.690811539762168e-09
30104,1.0
30105,1.0
30106,1.0
30107,1.0
30108,1.0
30109,1.0
30110,1.0
30111,0.9999999760089183
30112,0.9999999999999996
30113,3.080417115077982e-05
30114,1.0
30115,1.0
30116,1.0
30117,5.281675270442667e-10
30118,5.024342917619557e-16
30119,1.0
30120,1.0
30121,1.0
30122,1.0
30123,1.0
30124,1.0
30125,1.0
30126,1.0
30127,1.0
30128,1.0
30129,1.0
30130,1.0
30131,1.0
30132,1.0
30133,1.0
30134,1.0
30135,1.0
30136,1.0
30137,1.0
30138,1.0
30139,1.0
30140,1.0
30141,1.0
30142,1.0
30143,1.0
30144,1.0
30145,1.0
30146,1.0
30147,1.0
30148,1.0
30149,1.0
30150,1.0
30151,1.0
30152,6.635576345895496e-16
30153,6.011741728192294e-11
30154,3.826395995784231e-11
30155,1.0
30156,1.0
30157,1.0
30158,1.0
30159,1.0
30160,1.0
30161,1.0
30162,1.0
30163,1.0
30164,1.0
30165,1.0
30166,1.0
30167,1.0
30168,1.0
30169,0.4188722873669662
30170,8.773844723591635e-50
30171,9.024457058133302e-43
30172,1.8802474521064314e-39
30173,0.9744241441693249
30174,1.0
30175,1.0
30176,1.0
30177,1.0
30178,1.0
30179,1.0
30180,1.0
30181,1.0
30182,1.0
